text_combined,label
Subject: Calendar update. I left the keys with the concierge in case you arrive earlier. Regular safe email sample #76.,safe
"Тема: Для семьи. Список продуктов обновил: хлеб, яйца, макароны, томаты и сыр. Обычное безопасное письмо #77.",safe
"Subject: Weekend plan. The grocery list is updated: bread, eggs, pasta, tomatoes and cheese. Regular safe email sample #78.",safe
"Тема: Список дел. Сегодня в целом всё спокойно, просто напоминаю про встречу после обеда. Обычное безопасное письмо #79.",safe
"Subject: Office update. Everything is calm today, this is just a friendly reminder about the meeting. Regular safe email sample #80.",safe
"Тема: Домашние дела. Суп готов, по дороге домой купи хлеб и колбасу. Обычное безопасное письмо #81.",safe
"Subject: Reminder. Dinner is ready, please buy bread and cheese on your way home. Regular safe email sample #82.",safe
"Тема: Планы на вечер. Я буду дома после семи, если сможешь, захвати молоко и яблоки. Обычное безопасное письмо #83.",safe
"Subject: Work note. I will arrive after six, please pick up milk and bananas if you pass the store. Regular safe email sample #84.",safe
"Тема: Семейные вопросы. Напоминаю, что завтра встречаемся в офисе в десять утра у переговорной. Обычное безопасное письмо #85.",safe
Subject: Team note. Tomorrow's meeting is still at 10:00 and the room has not changed. Regular safe email sample #86.,safe
"Тема: Рабочая заметка. Пожалуйста, посмотри обычный список задач и отметь выполненные пункты. Обычное безопасное письмо #87.",safe
"Subject: Pickup request. I shared the draft notes, please review them whenever you have time. Regular safe email sample #88.",safe
"Тема: Документы. Сегодня созвон переносится на 16:30, запись в календаре остаётся прежней. Обычное безопасное письмо #89.",safe
"Subject: Notes. The call is moved to 4:30 pm, the calendar entry is the same. Regular safe email sample #90.",safe
Тема: Учёба. Не забудь взять документы со стола и положить их в синюю папку. Обычное безопасное письмо #91.,safe
Subject: Shopping list. Please take the printed papers from the desk and place them in the blue folder. Regular safe email sample #92.,safe
"Тема: Созвон. После работы давай зайдём в магазин за овощами, рисом и чаем. Обычное безопасное письмо #93.",safe
"Subject: Calendar update. We can stop by the grocery store later for rice, tea and vegetables. Regular safe email sample #94.",safe
"Тема: Календарь. Я отправил обычный черновик отчёта, посмотри формулировки, когда будет время. Обычное безопасное письмо #95.",safe
"Subject: Weekend plan. The report draft is attached for normal review, no rush from my side. Regular safe email sample #96.",safe
"Тема: Для семьи. Если будешь рядом с аптекой, купи, пожалуйста, пластырь и витамины. Обычное безопасное письмо #97.",safe
"Subject: Office update. If you are near the pharmacy, please buy vitamins and bandages. Regular safe email sample #98.",safe
"Тема: Список дел. Погода вечером прохладная, возьми куртку, если пойдёшь пешком. Обычное безопасное письмо #99.",safe
"Subject: Reminder. It may be chilly tonight, take a jacket if you walk home. Regular safe email sample #100.",safe
"Тема: Домашние дела. На выходных планируем поехать к родителям, напиши, удобно ли тебе в субботу. Обычное безопасное письмо #101.",safe
"Subject: Work note. We plan to visit the family on Saturday, let me know if that works for you. Regular safe email sample #102.",safe
"Тема: Планы на вечер. Я положил квитанции в верхний ящик, чтобы потом спокойно их разобрать. Обычное безопасное письмо #103.",safe
Subject: Team note. The receipts are in the top drawer so we can sort them later. Regular safe email sample #104.,safe
"Тема: Семейные вопросы. На кухне закончился кофе, можно купить обычную упаковку по пути. Обычное безопасное письмо #105.",safe
"Subject: Pickup request. We ran out of coffee in the kitchen, please buy a regular pack. Regular safe email sample #106.",safe
"Тема: Рабочая заметка. В расписании занятий изменений нет, аудитория остаётся той же. Обычное безопасное письмо #107.",safe
"Subject: Notes. There are no changes in the class schedule, same room as before. Regular safe email sample #108.",safe
"Тема: Документы. Я забронировал столик на пятницу, напомни, если планы изменятся. Обычное безопасное письмо #109.",safe
"Subject: Shopping list. I booked a table for Friday evening, tell me if your plans change. Regular safe email sample #110.",safe
"Тема: Учёба. Подготовил заметки по проекту, без спешки прочитай их завтра утром. Обычное безопасное письмо #111.",safe
"Subject: Calendar update. I prepared simple project notes, you can read them tomorrow morning. Regular safe email sample #112.",safe
"Тема: Созвон. Если удобно, забери посылку из пункта выдачи после обеда. Обычное безопасное письмо #113.",safe
Subject: Weekend plan. Please collect the package from the pickup point after lunch. Regular safe email sample #114.,safe
"Тема: Календарь. Оставил ключи у консьержа, если приедешь раньше меня. Обычное безопасное письмо #115.",safe
Subject: Office update. I left the keys with the concierge in case you arrive earlier. Regular safe email sample #116.,safe
"Тема: Для семьи. Список продуктов обновил: хлеб, яйца, макароны, томаты и сыр. Обычное безопасное письмо #117.",safe
"Subject: Reminder. The grocery list is updated: bread, eggs, pasta, tomatoes and cheese. Regular safe email sample #118.",safe
"Тема: Список дел. Сегодня в целом всё спокойно, просто напоминаю про встречу после обеда. Обычное безопасное письмо #119.",safe
"Subject: Work note. Everything is calm today, this is just a friendly reminder about the meeting. Regular safe email sample #120.",safe
"Тема: Домашние дела. Суп готов, по дороге домой купи хлеб и колбасу. Обычное безопасное письмо #121.",safe
"Subject: Team note. Dinner is ready, please buy bread and cheese on your way home. Regular safe email sample #122.",safe
"Тема: Планы на вечер. Я буду дома после семи, если сможешь, захвати молоко и яблоки. Обычное безопасное письмо #123.",safe
"Subject: Pickup request. I will arrive after six, please pick up milk and bananas if you pass the store. Regular safe email sample #124.",safe
"Тема: Семейные вопросы. Напоминаю, что завтра встречаемся в офисе в десять утра у переговорной. Обычное безопасное письмо #125.",safe
Subject: Notes. Tomorrow's meeting is still at 10:00 and the room has not changed. Regular safe email sample #126.,safe
"Тема: Рабочая заметка. Пожалуйста, посмотри обычный список задач и отметь выполненные пункты. Обычное безопасное письмо #127.",safe
"Subject: Shopping list. I shared the draft notes, please review them whenever you have time. Regular safe email sample #128.",safe
"Тема: Документы. Сегодня созвон переносится на 16:30, запись в календаре остаётся прежней. Обычное безопасное письмо #129.",safe
"Subject: Calendar update. The call is moved to 4:30 pm, the calendar entry is the same. Regular safe email sample #130.",safe
Тема: Учёба. Не забудь взять документы со стола и положить их в синюю папку. Обычное безопасное письмо #131.,safe
Subject: Weekend plan. Please take the printed papers from the desk and place them in the blue folder. Regular safe email sample #132.,safe
"Тема: Созвон. После работы давай зайдём в магазин за овощами, рисом и чаем. Обычное безопасное письмо #133.",safe
"Subject: Office update. We can stop by the grocery store later for rice, tea and vegetables. Regular safe email sample #134.",safe
"Тема: Календарь. Я отправил обычный черновик отчёта, посмотри формулировки, когда будет время. Обычное безопасное письмо #135.",safe
"Subject: Reminder. The report draft is attached for normal review, no rush from my side. Regular safe email sample #136.",safe
"Тема: Для семьи. Если будешь рядом с аптекой, купи, пожалуйста, пластырь и витамины. Обычное безопасное письмо #137.",safe
"Subject: Work note. If you are near the pharmacy, please buy vitamins and bandages. Regular safe email sample #138.",safe
"Тема: Список дел. Погода вечером прохладная, возьми куртку, если пойдёшь пешком. Обычное безопасное письмо #139.",safe
"Subject: Team note. It may be chilly tonight, take a jacket if you walk home. Regular safe email sample #140.",safe
"Тема: Домашние дела. На выходных планируем поехать к родителям, напиши, удобно ли тебе в субботу. Обычное безопасное письмо #141.",safe
"Subject: Pickup request. We plan to visit the family on Saturday, let me know if that works for you. Regular safe email sample #142.",safe
"Тема: Планы на вечер. Я положил квитанции в верхний ящик, чтобы потом спокойно их разобрать. Обычное безопасное письмо #143.",safe
Subject: Notes. The receipts are in the top drawer so we can sort them later. Regular safe email sample #144.,safe
"Тема: Семейные вопросы. На кухне закончился кофе, можно купить обычную упаковку по пути. Обычное безопасное письмо #145.",safe
"Subject: Shopping list. We ran out of coffee in the kitchen, please buy a regular pack. Regular safe email sample #146.",safe
"Тема: Рабочая заметка. В расписании занятий изменений нет, аудитория остаётся той же. Обычное безопасное письмо #147.",safe
"Subject: Calendar update. There are no changes in the class schedule, same room as before. Regular safe email sample #148.",safe
"Тема: Документы. Я забронировал столик на пятницу, напомни, если планы изменятся. Обычное безопасное письмо #149.",safe
"Subject: Weekend plan. I booked a table for Friday evening, tell me if your plans change. Regular safe email sample #150.",safe
"Тема: Учёба. Подготовил заметки по проекту, без спешки прочитай их завтра утром. Обычное безопасное письмо #151.",safe
"Subject: Office update. I prepared simple project notes, you can read them tomorrow morning. Regular safe email sample #152.",safe
"Тема: Созвон. Если удобно, забери посылку из пункта выдачи после обеда. Обычное безопасное письмо #153.",safe
Subject: Reminder. Please collect the package from the pickup point after lunch. Regular safe email sample #154.,safe
"Тема: Календарь. Оставил ключи у консьержа, если приедешь раньше меня. Обычное безопасное письмо #155.",safe
Subject: Work note. I left the keys with the concierge in case you arrive earlier. Regular safe email sample #156.,safe
"Тема: Для семьи. Список продуктов обновил: хлеб, яйца, макароны, томаты и сыр. Обычное безопасное письмо #157.",safe
"Subject: Team note. The grocery list is updated: bread, eggs, pasta, tomatoes and cheese. Regular safe email sample #158.",safe
"Тема: Список дел. Сегодня в целом всё спокойно, просто напоминаю про встречу после обеда. Обычное безопасное письмо #159.",safe
"Subject: Pickup request. Everything is calm today, this is just a friendly reminder about the meeting. Regular safe email sample #160.",safe
"Тема: Домашние дела. Суп готов, по дороге домой купи хлеб и колбасу. Обычное безопасное письмо #161.",safe
"Subject: Notes. Dinner is ready, please buy bread and cheese on your way home. Regular safe email sample #162.",safe
"Тема: Планы на вечер. Я буду дома после семи, если сможешь, захвати молоко и яблоки. Обычное безопасное письмо #163.",safe
"Subject: Shopping list. I will arrive after six, please pick up milk and bananas if you pass the store. Regular safe email sample #164.",safe
"Тема: Семейные вопросы. Напоминаю, что завтра встречаемся в офисе в десять утра у переговорной. Обычное безопасное письмо #165.",safe
Subject: Calendar update. Tomorrow's meeting is still at 10:00 and the room has not changed. Regular safe email sample #166.,safe
"Тема: Рабочая заметка. Пожалуйста, посмотри обычный список задач и отметь выполненные пункты. Обычное безопасное письмо #167.",safe
"Subject: Weekend plan. I shared the draft notes, please review them whenever you have time. Regular safe email sample #168.",safe
"Тема: Документы. Сегодня созвон переносится на 16:30, запись в календаре остаётся прежней. Обычное безопасное письмо #169.",safe
"Subject: Office update. The call is moved to 4:30 pm, the calendar entry is the same. Regular safe email sample #170.",safe
Тема: Учёба. Не забудь взять документы со стола и положить их в синюю папку. Обычное безопасное письмо #171.,safe
Subject: Reminder. Please take the printed papers from the desk and place them in the blue folder. Regular safe email sample #172.,safe
"Тема: Созвон. После работы давай зайдём в магазин за овощами, рисом и чаем. Обычное безопасное письмо #173.",safe
"Subject: Work note. We can stop by the grocery store later for rice, tea and vegetables. Regular safe email sample #174.",safe
"Тема: Календарь. Я отправил обычный черновик отчёта, посмотри формулировки, когда будет время. Обычное безопасное письмо #175.",safe
"Subject: Team note. The report draft is attached for normal review, no rush from my side. Regular safe email sample #176.",safe
"Тема: Для семьи. Если будешь рядом с аптекой, купи, пожалуйста, пластырь и витамины. Обычное безопасное письмо #177.",safe
"Subject: Pickup request. If you are near the pharmacy, please buy vitamins and bandages. Regular safe email sample #178.",safe
"Тема: Список дел. Погода вечером прохладная, возьми куртку, если пойдёшь пешком. Обычное безопасное письмо #179.",safe
"Subject: Notes. It may be chilly tonight, take a jacket if you walk home. Regular safe email sample #180.",safe
"Тема: Домашние дела. На выходных планируем поехать к родителям, напиши, удобно ли тебе в субботу. Обычное безопасное письмо #181.",safe
"Subject: Shopping list. We plan to visit the family on Saturday, let me know if that works for you. Regular safe email sample #182.",safe
"Тема: Планы на вечер. Я положил квитанции в верхний ящик, чтобы потом спокойно их разобрать. Обычное безопасное письмо #183.",safe
Subject: Calendar update. The receipts are in the top drawer so we can sort them later. Regular safe email sample #184.,safe
"Тема: Семейные вопросы. На кухне закончился кофе, можно купить обычную упаковку по пути. Обычное безопасное письмо #185.",safe
"Subject: Weekend plan. We ran out of coffee in the kitchen, please buy a regular pack. Regular safe email sample #186.",safe
"Тема: Рабочая заметка. В расписании занятий изменений нет, аудитория остаётся той же. Обычное безопасное письмо #187.",safe
"Subject: Office update. There are no changes in the class schedule, same room as before. Regular safe email sample #188.",safe
"Тема: Документы. Я забронировал столик на пятницу, напомни, если планы изменятся. Обычное безопасное письмо #189.",safe
"Subject: Reminder. I booked a table for Friday evening, tell me if your plans change. Regular safe email sample #190.",safe
"Тема: Учёба. Подготовил заметки по проекту, без спешки прочитай их завтра утром. Обычное безопасное письмо #191.",safe
"Subject: Work note. I prepared simple project notes, you can read them tomorrow morning. Regular safe email sample #192.",safe
"Тема: Созвон. Если удобно, забери посылку из пункта выдачи после обеда. Обычное безопасное письмо #193.",safe
Subject: Team note. Please collect the package from the pickup point after lunch. Regular safe email sample #194.,safe
"Тема: Календарь. Оставил ключи у консьержа, если приедешь раньше меня. Обычное безопасное письмо #195.",safe
Subject: Pickup request. I left the keys with the concierge in case you arrive earlier. Regular safe email sample #196.,safe
"Тема: Для семьи. Список продуктов обновил: хлеб, яйца, макароны, томаты и сыр. Обычное безопасное письмо #197.",safe
"Subject: Notes. The grocery list is updated: bread, eggs, pasta, tomatoes and cheese. Regular safe email sample #198.",safe
"Тема: Список дел. Сегодня в целом всё спокойно, просто напоминаю про встречу после обеда. Обычное безопасное письмо #199.",safe
"Subject: Shopping list. Everything is calm today, this is just a friendly reminder about the meeting. Regular safe email sample #200.",safe
"Тема: Домашние дела. Суп готов, по дороге домой купи хлеб и колбасу. Обычное безопасное письмо #201.",safe
"Subject: Calendar update. Dinner is ready, please buy bread and cheese on your way home. Regular safe email sample #202.",safe
"Тема: Планы на вечер. Я буду дома после семи, если сможешь, захвати молоко и яблоки. Обычное безопасное письмо #203.",safe
"Subject: Weekend plan. I will arrive after six, please pick up milk and bananas if you pass the store. Regular safe email sample #204.",safe
"Тема: Семейные вопросы. Напоминаю, что завтра встречаемся в офисе в десять утра у переговорной. Обычное безопасное письмо #205.",safe
Subject: Office update. Tomorrow's meeting is still at 10:00 and the room has not changed. Regular safe email sample #206.,safe
"Тема: Рабочая заметка. Пожалуйста, посмотри обычный список задач и отметь выполненные пункты. Обычное безопасное письмо #207.",safe
"Subject: Reminder. I shared the draft notes, please review them whenever you have time. Regular safe email sample #208.",safe
"Тема: Документы. Сегодня созвон переносится на 16:30, запись в календаре остаётся прежней. Обычное безопасное письмо #209.",safe
"Subject: Work note. The call is moved to 4:30 pm, the calendar entry is the same. Regular safe email sample #210.",safe
Тема: Учёба. Не забудь взять документы со стола и положить их в синюю папку. Обычное безопасное письмо #211.,safe
Subject: Team note. Please take the printed papers from the desk and place them in the blue folder. Regular safe email sample #212.,safe
"Тема: Созвон. После работы давай зайдём в магазин за овощами, рисом и чаем. Обычное безопасное письмо #213.",safe
"Subject: Pickup request. We can stop by the grocery store later for rice, tea and vegetables. Regular safe email sample #214.",safe
"Тема: Календарь. Я отправил обычный черновик отчёта, посмотри формулировки, когда будет время. Обычное безопасное письмо #215.",safe
"Subject: Notes. The report draft is attached for normal review, no rush from my side. Regular safe email sample #216.",safe
"Тема: Для семьи. Если будешь рядом с аптекой, купи, пожалуйста, пластырь и витамины. Обычное безопасное письмо #217.",safe
"Subject: Shopping list. If you are near the pharmacy, please buy vitamins and bandages. Regular safe email sample #218.",safe
"Тема: Список дел. Погода вечером прохладная, возьми куртку, если пойдёшь пешком. Обычное безопасное письмо #219.",safe
"Subject: Calendar update. It may be chilly tonight, take a jacket if you walk home. Regular safe email sample #220.",safe
"Тема: Домашние дела. На выходных планируем поехать к родителям, напиши, удобно ли тебе в субботу. Обычное безопасное письмо #221.",safe
"Subject: Weekend plan. We plan to visit the family on Saturday, let me know if that works for you. Regular safe email sample #222.",safe
"Тема: Планы на вечер. Я положил квитанции в верхний ящик, чтобы потом спокойно их разобрать. Обычное безопасное письмо #223.",safe
Subject: Office update. The receipts are in the top drawer so we can sort them later. Regular safe email sample #224.,safe
"Тема: Семейные вопросы. На кухне закончился кофе, можно купить обычную упаковку по пути. Обычное безопасное письмо #225.",safe
"Subject: Reminder. We ran out of coffee in the kitchen, please buy a regular pack. Regular safe email sample #226.",safe
"Тема: Рабочая заметка. В расписании занятий изменений нет, аудитория остаётся той же. Обычное безопасное письмо #227.",safe
"Subject: Work note. There are no changes in the class schedule, same room as before. Regular safe email sample #228.",safe
"Тема: Документы. Я забронировал столик на пятницу, напомни, если планы изменятся. Обычное безопасное письмо #229.",safe
"Subject: Team note. I booked a table for Friday evening, tell me if your plans change. Regular safe email sample #230.",safe
"Тема: Учёба. Подготовил заметки по проекту, без спешки прочитай их завтра утром. Обычное безопасное письмо #231.",safe
"Subject: Pickup request. I prepared simple project notes, you can read them tomorrow morning. Regular safe email sample #232.",safe
"Тема: Созвон. Если удобно, забери посылку из пункта выдачи после обеда. Обычное безопасное письмо #233.",safe
Subject: Notes. Please collect the package from the pickup point after lunch. Regular safe email sample #234.,safe
"Тема: Календарь. Оставил ключи у консьержа, если приедешь раньше меня. Обычное безопасное письмо #235.",safe
Subject: Shopping list. I left the keys with the concierge in case you arrive earlier. Regular safe email sample #236.,safe
"Тема: Для семьи. Список продуктов обновил: хлеб, яйца, макароны, томаты и сыр. Обычное безопасное письмо #237.",safe
"Subject: Calendar update. The grocery list is updated: bread, eggs, pasta, tomatoes and cheese. Regular safe email sample #238.",safe
"Тема: Список дел. Сегодня в целом всё спокойно, просто напоминаю про встречу после обеда. Обычное безопасное письмо #239.",safe
"Subject: Weekend plan. Everything is calm today, this is just a friendly reminder about the meeting. Regular safe email sample #240.",safe
"Тема: Домашние дела. Суп готов, по дороге домой купи хлеб и колбасу. Обычное безопасное письмо #241.",safe
"Subject: Office update. Dinner is ready, please buy bread and cheese on your way home. Regular safe email sample #242.",safe
"Тема: Планы на вечер. Я буду дома после семи, если сможешь, захвати молоко и яблоки. Обычное безопасное письмо #243.",safe
"Subject: Reminder. I will arrive after six, please pick up milk and bananas if you pass the store. Regular safe email sample #244.",safe
"Тема: Семейные вопросы. Напоминаю, что завтра встречаемся в офисе в десять утра у переговорной. Обычное безопасное письмо #245.",safe
Subject: Work note. Tomorrow's meeting is still at 10:00 and the room has not changed. Regular safe email sample #246.,safe
"Тема: Рабочая заметка. Пожалуйста, посмотри обычный список задач и отметь выполненные пункты. Обычное безопасное письмо #247.",safe
"Subject: Team note. I shared the draft notes, please review them whenever you have time. Regular safe email sample #248.",safe
"Тема: Документы. Сегодня созвон переносится на 16:30, запись в календаре остаётся прежней. Обычное безопасное письмо #249.",safe
"Subject: Pickup request. The call is moved to 4:30 pm, the calendar entry is the same. Regular safe email sample #250.",safe
Тема: Учёба. Не забудь взять документы со стола и положить их в синюю папку. Обычное безопасное письмо #251.,safe
Subject: Notes. Please take the printed papers from the desk and place them in the blue folder. Regular safe email sample #252.,safe
"Тема: Созвон. После работы давай зайдём в магазин за овощами, рисом и чаем. Обычное безопасное письмо #253.",safe
"Subject: Shopping list. We can stop by the grocery store later for rice, tea and vegetables. Regular safe email sample #254.",safe
"Тема: Календарь. Я отправил обычный черновик отчёта, посмотри формулировки, когда будет время. Обычное безопасное письмо #255.",safe
"Subject: Calendar update. The report draft is attached for normal review, no rush from my side. Regular safe email sample #256.",safe
"Тема: Для семьи. Если будешь рядом с аптекой, купи, пожалуйста, пластырь и витамины. Обычное безопасное письмо #257.",safe
"Subject: Weekend plan. If you are near the pharmacy, please buy vitamins and bandages. Regular safe email sample #258.",safe
"Тема: Список дел. Погода вечером прохладная, возьми куртку, если пойдёшь пешком. Обычное безопасное письмо #259.",safe
"Subject: Office update. It may be chilly tonight, take a jacket if you walk home. Regular safe email sample #260.",safe
"Тема: Домашние дела. На выходных планируем поехать к родителям, напиши, удобно ли тебе в субботу. Обычное безопасное письмо #261.",safe
"Subject: Reminder. We plan to visit the family on Saturday, let me know if that works for you. Regular safe email sample #262.",safe
"Тема: Планы на вечер. Я положил квитанции в верхний ящик, чтобы потом спокойно их разобрать. Обычное безопасное письмо #263.",safe
Subject: Work note. The receipts are in the top drawer so we can sort them later. Regular safe email sample #264.,safe
"Тема: Семейные вопросы. На кухне закончился кофе, можно купить обычную упаковку по пути. Обычное безопасное письмо #265.",safe
"Subject: Team note. We ran out of coffee in the kitchen, please buy a regular pack. Regular safe email sample #266.",safe
"Тема: Рабочая заметка. В расписании занятий изменений нет, аудитория остаётся той же. Обычное безопасное письмо #267.",safe
